Puzzle,Heuristic,Solution Depth,Solution Cost,Nodes Expanded,Nodes Generated,Max Frontier Size
"(1, 2, 3, 4, 5, 6, 7, 8, 0)",UCS,0,0,0,0,1
"(1, 2, 3, 4, 5, 6, 7, 8, 0)",Misplaced,0,0,0,0,1
"(1, 2, 3, 4, 5, 6, 7, 8, 0)",Manhattan,0,0,0,0,1
"(1, 2, 3, 4, 5, 6, 7, 0, 8)",UCS,1,1,3,9,5
"(1, 2, 3, 4, 5, 6, 7, 0, 8)",Misplaced,1,1,1,3,3
"(1, 2, 3, 4, 5, 6, 7, 0, 8)",Manhattan,1,1,1,3,3
"(1, 2, 3, 4, 5, 6, 0, 7, 8)",UCS,2,2,5,14,6
"(1, 2, 3, 4, 5, 6, 0, 7, 8)",Misplaced,2,2,2,5,3
"(1, 2, 3, 4, 5, 6, 0, 7, 8)",Manhattan,2,2,2,5,3
"(1, 2, 3, 4, 5, 0, 6, 7, 8)",UCS,13,13,2299,6196,1348
"(1, 2, 3, 4, 5, 0, 6, 7, 8)",Misplaced,13,13,189,518,130
"(1, 2, 3, 4, 5, 0, 6, 7, 8)",Manhattan,13,13,83,224,57
"(1, 2, 3, 4, 0, 5, 6, 7, 8)",UCS,14,14,4176,11236,2368
"(1, 2, 3, 4, 0, 5, 6, 7, 8)",Misplaced,14,14,334,916,220
"(1, 2, 3, 4, 0, 5, 6, 7, 8)",Manhattan,14,14,127,345,86
"(1, 2, 3, 0, 4, 5, 6, 7, 8)",UCS,15,15,5844,15738,3283
"(1, 2, 3, 0, 4, 5, 6, 7, 8)",Misplaced,15,15,472,1291,302
"(1, 2, 3, 0, 4, 5, 6, 7, 8)",Manhattan,15,15,160,433,105
"(1, 2, 0, 3, 4, 5, 6, 7, 8)",UCS,22,22,76751,206560,23952
"(1, 2, 0, 3, 4, 5, 6, 7, 8)",Misplaced,22,22,8313,22573,4562
"(1, 2, 0, 3, 4, 5, 6, 7, 8)",Manhattan,22,22,1272,3397,729
"(1, 0, 2, 3, 4, 5, 6, 7, 8)",UCS,21,21,61549,165658,21721
"(1, 0, 2, 3, 4, 5, 6, 7, 8)",Misplaced,21,21,6055,16444,3426
"(1, 0, 2, 3, 4, 5, 6, 7, 8)",Manhattan,21,21,940,2511,539
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",UCS,22,22,76709,206474,23952
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",Misplaced,22,22,8329,22615,4574
"(0, 1, 2, 3, 4, 5, 6, 7, 8)",Manhattan,22,22,1348,3614,764
"(1, 2, 3, 4, 5, 0, 7, 8, 6)",UCS,1,1,3,9,5
"(1, 2, 3, 4, 5, 0, 7, 8, 6)",Misplaced,1,1,1,3,3
"(1, 2, 3, 4, 5, 0, 7, 8, 6)",Manhattan,1,1,1,3,3
"(1, 2, 3, 4, 0, 6, 7, 5, 8)",UCS,2,2,9,24,8
"(1, 2, 3, 4, 0, 6, 7, 5, 8)",Misplaced,2,2,2,7,5
"(1, 2, 3, 4, 0, 6, 7, 5, 8)",Manhattan,2,2,2,7,5
"(1, 2, 3, 0, 5, 6, 4, 7, 8)",UCS,3,3,12,34,12
"(1, 2, 3, 0, 5, 6, 4, 7, 8)",Misplaced,3,3,3,8,4
"(1, 2, 3, 0, 5, 6, 4, 7, 8)",Manhattan,3,3,3,8,4
"(1, 2, 0, 4, 5, 3, 6, 7, 8)",UCS,14,14,3266,8796,1893
"(1, 2, 0, 4, 5, 3, 6, 7, 8)",Misplaced,14,14,261,713,174
"(1, 2, 0, 4, 5, 3, 6, 7, 8)",Manhattan,14,14,105,289,72
"(1, 0, 3, 4, 2, 5, 6, 7, 8)",UCS,15,15,5838,15722,3283
"(1, 0, 3, 4, 2, 5, 6, 7, 8)",Misplaced,15,15,450,1236,295
"(1, 0, 3, 4, 2, 5, 6, 7, 8)",Manhattan,15,15,158,423,100
"(0, 2, 3, 1, 4, 5, 6, 7, 8)",UCS,16,16,8166,22016,4485
"(0, 2, 3, 1, 4, 5, 6, 7, 8)",Misplaced,16,16,646,1767,412
"(0, 2, 3, 1, 4, 5, 6, 7, 8)",Manhattan,16,16,186,505,122
"(1, 2, 3, 4, 5, 8, 6, 7, 0)",UCS,12,12,1260,3390,748
"(1, 2, 3, 4, 5, 8, 6, 7, 0)",Misplaced,12,12,107,295,77
"(1, 2, 3, 4, 5, 8, 6, 7, 0)",Manhattan,12,12,48,133,38
"(1, 2, 3, 8, 4, 5, 6, 7, 0)",UCS,14,14,3263,8786,1893
"(1, 2, 3, 8, 4, 5, 6, 7, 0)",Misplaced,14,14,238,661,167
"(1, 2, 3, 8, 4, 5, 6, 7, 0)",Manhattan,14,14,82,221,53
"(1, 2, 7, 3, 4, 5, 6, 8, 0)",UCS,26,26,158745,425384,24047
"(1, 2, 7, 3, 4, 5, 6, 8, 0)",Misplaced,26,26,38021,102601,15450
"(1, 2, 7, 3, 4, 5, 6, 8, 0)",Manhattan,26,26,4626,12341,2341
"(1, 8, 2, 3, 4, 5, 6, 7, 0)",UCS,20,20,41246,111140,16993
"(1, 8, 2, 3, 4, 5, 6, 7, 0)",Misplaced,20,20,3226,8748,1903
"(1, 8, 2, 3, 4, 5, 6, 7, 0)",Manhattan,20,20,319,855,193
"(1, 2, 3, 4, 7, 5, 6, 0, 8)",UCS,15,15,5856,15762,3283
"(1, 2, 3, 4, 7, 5, 6, 0, 8)",Misplaced,15,15,469,1287,310
"(1, 2, 3, 4, 7, 5, 6, 0, 8)",Manhattan,15,15,166,448,110
"(1, 2, 7, 3, 4, 5, 6, 0, 8)",UCS,25,25,145979,391578,25132
"(1, 2, 7, 3, 4, 5, 6, 0, 8)",Misplaced,25,25,28988,78229,12597
"(1, 2, 7, 3, 4, 5, 6, 0, 8)",Manhattan,25,25,3323,8870,1729
"(7, 1, 2, 3, 4, 5, 6, 0, 8)",UCS,23,23,103819,279245,25132
"(7, 1, 2, 3, 4, 5, 6, 0, 8)",Misplaced,23,23,13594,36781,7017
"(7, 1, 2, 3, 4, 5, 6, 0, 8)",Manhattan,23,23,1878,5025,1017
"(1, 2, 3, 6, 4, 5, 0, 7, 8)",UCS,16,16,8194,22066,4485
"(1, 2, 3, 6, 4, 5, 0, 7, 8)",Misplaced,16,16,677,1853,433
"(1, 2, 3, 6, 4, 5, 0, 7, 8)",Manhattan,16,16,238,644,156
"(1, 5, 2, 0, 3, 8, 4, 6, 7)",UCS,15,15,5845,15734,3283
"(1, 5, 2, 0, 3, 8, 4, 6, 7)",Misplaced,15,15,385,1050,248
"(1, 5, 2, 0, 3, 8, 4, 6, 7)",Manhattan,15,15,79,213,54
"(4, 2, 1, 3, 8, 5, 0, 7, 6)",UCS,16,16,8146,21968,4485
"(4, 2, 1, 3, 8, 5, 0, 7, 6)",Misplaced,16,16,525,1424,328
"(4, 2, 1, 3, 8, 5, 0, 7, 6)",Manhattan,16,16,130,348,78
"(1, 3, 4, 5, 2, 6, 8, 0, 7)",UCS,17,17,14108,37991,7322
"(1, 3, 4, 5, 2, 6, 8, 0, 7)",Misplaced,17,17,966,2633,607
"(1, 3, 4, 5, 2, 6, 8, 0, 7)",Manhattan,17,17,209,555,122
"(7, 5, 1, 6, 0, 2, 4, 3, 8)",UCS,22,22,86823,233578,24968
"(7, 5, 1, 6, 0, 2, 4, 3, 8)",Misplaced,22,22,9689,26201,5246
"(7, 5, 1, 6, 0, 2, 4, 3, 8)",Manhattan,22,22,1180,3165,678
"(4, 6, 0, 2, 8, 3, 1, 7, 5)",UCS,16,16,8159,21998,4485
"(4, 6, 0, 2, 8, 3, 1, 7, 5)",Misplaced,16,16,561,1533,362
"(4, 6, 0, 2, 8, 3, 1, 7, 5)",Manhattan,16,16,113,307,80
"(3, 8, 6, 1, 7, 2, 0, 5, 4)",UCS,22,22,76790,206638,23959
"(3, 8, 6, 1, 7, 2, 0, 5, 4)",Misplaced,22,22,7745,21020,4377
"(3, 8, 6, 1, 7, 2, 0, 5, 4)",Manhattan,22,22,772,2045,432
"(2, 8, 3, 7, 0, 5, 1, 4, 6)",UCS,12,12,1615,4352,964
"(2, 8, 3, 7, 0, 5, 1, 4, 6)",Misplaced,12,12,112,307,80
"(2, 8, 3, 7, 0, 5, 1, 4, 6)",Manhattan,12,12,37,102,30
